
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#NPT RUN
#----------------------------------------------------

fix		fxnpt all npt temp 300 300 100 iso 1.0 1.0 1000.0

run		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.1
  ghost atom cutoff = 4.1
  binsize = 2.05 -> bins = 50 50 5
Memory usage per processor = 5.34324 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
  216000    298.46418   -20832.247    3500.8318   -17331.415 -2.2026825e-13 -2.1316282e-14 
  217000    302.67843   -20854.977    3550.2629   -17304.714 1.7941204e-13 1.0658141e-14 
  218000    297.26928   -20908.676    3486.8163   -17421.859 -9.9475983e-14 1.7941204e-13 
  219000    299.62695   -20912.891    3514.4705   -17398.421 -4.2632564e-14 -2.5224267e-13 
  220000    296.76602   -21069.084    3480.9133   -17588.171 -2.8421709e-13 -3.8369308e-13 
  221000    299.97784    -20861.87    3518.5863   -17343.284 5.6843419e-14 2.3803182e-13 
  222000    294.50942   -21092.101    3454.4445   -17637.656 -7.8159701e-14 2.1316282e-14 
  223000    299.52776   -20869.851    3513.3071   -17356.544 -5.8619776e-13 -1.4921397e-13 
  224000    299.26692   -20926.906    3510.2476   -17416.658 1.8829382e-13 1.563194e-13 
  225000    302.91249   -20846.817    3553.0083   -17293.808 1.0658141e-13 1.563194e-13 
  226000    301.98105    -20958.41    3542.0829   -17416.327 -9.9475983e-14 4.9737992e-14 
  227000    299.59606    -20868.98    3514.1083   -17354.872 3.907985e-14 -3.4461323e-13 
  228000    303.20589   -20891.601    3556.4497   -17335.152 2.593481e-13 9.9475983e-14 
  229000    296.38958   -20961.017    3476.4979    -17484.52 -2.9487524e-13 -1.0658141e-13 
  230000    303.04426   -20892.295    3554.5539   -17337.741 4.2632564e-14 -1.9539925e-13 
  231000    306.09767   -20836.873    3590.3688   -17246.504 -1.9184654e-13 -1.4566126e-13 
  232000    299.25129   -20961.295    3510.0642    -17451.23 2.9842795e-13 -9.9475983e-14 
  233000    296.17234   -20877.737    3473.9498   -17403.788 -1.9895197e-13 3.1974423e-13 
  234000    304.66039   -20882.191    3573.5103    -17308.68 2.1316282e-14 1.1368684e-13 
  235000    304.82521   -20881.116    3575.4435   -17305.673 2.1316282e-13 1.4210855e-14 
  236000     298.6097   -20921.386    3502.5388   -17418.847 2.2382096e-13 -2.2382096e-13 
  237000    299.58972   -20871.374    3514.0339   -17357.341 2.0428104e-13 3.5527137e-14 
  238000    299.48362   -20992.848    3512.7894   -17480.058 -1.7763568e-14 -2.4868996e-14 
  239000    298.57359   -20809.941    3502.1152   -17307.826 2.2382096e-13 -2.1671553e-13 
  240000    306.97042   -20787.563    3600.6057   -17186.957 1.1013412e-13 9.9475983e-14 
  241000    304.15471    -20932.36    3567.5789   -17364.781 -2.8421709e-14 -3.4283687e-13 
  242000    289.49814   -20847.293    3395.6648   -17451.628 -7.1054274e-15 2.3980817e-14 
  243000    301.08395    -20953.51    3531.5604    -17421.95 1.8474111e-13 -2.4868996e-14 
  244000    298.09213   -20904.688    3496.4679    -17408.22 -1.7408297e-13 -7.1054274e-14 
  245000    292.84695   -20916.934    3434.9447    -17481.99 2.4158453e-13 1.5987212e-13 
  246000    301.41444   -20891.245    3535.4369   -17355.808 1.5276669e-13 -2.1316282e-13 
